Yarn Code (Technologist),Sketch Number,Proposing Method,Production,Construction,Sketcher,Yarn Recycle/ Regular,Lace Status (100% recycle/ 50% recycle/ Regular),Project,Customer,Finish Quality,Lace Type,Weft Elasticity,Warp Elasticity,Moulding,Clipping,Cut-out,Scalloping,Draw code,Lycra Back,Thermo yarn path,Right & Left Panels,Code Modified,Nb Courses,Nb courses between 2 pillar locks,Repeat Length (mm),Repeat width (mm),Gauge,Needle set up,Nb of bars,Nb of Bands,"Nb of racks
",Nb of repeats,Designer comments,Nature,Yarn code (Designer),Description (Designer),Article Number,Description (Technologist),Pilot Status,Yarn consumption %,Yield,Stretch (Warp),Stretch (Weft),Bursting Strength 
1002101,,Customer Development,JL,Trim,,,Regular,,VS,36,Stretch,,1.2535,No,No,No,No,No,No,,,,876,,244,70,48,192,79,32,374,205,,BRODEURS A,,,RS02875G,N6 4/78/68 FD 300tpm yarn,Rejected,13.91,82.08 m/kg,1.236,,A
1002164,,Customer Development,JL,Trim,,,Regular,,VS,36,Stretch,,1.2535,No,No,No,No,No,No,,,,876,,244,70,48,192,79,32,374,205,,GUIMPES A,,,RS02875G,N6 1/110/36F SD DTY- Recycle,Rejected,12.07,82.08 m/kg,1.236,,A
1001300,,Customer Development,JL,Trim,,,Regular,,VS,36,Stretch,,1.2535,No,No,No,No,No,No,,,,876,,244,70,48,192,79,32,374,205,,GUIMPES B,,,RS02875G,NYLON 6 1/78/24FIL SEMI DULL FLAT R/W,Rejected,13.48,82.08 m/kg,1.236,,A
1001300,,Customer Development,JL,Trim,,,Regular,,VS,36,Stretch,,1.2535,No,No,No,No,No,No,,,,876,,244,70,48,192,79,32,374,205,,GUIMPES C,,,RS02875G,NYLON 6 1/78/24FIL SEMI DULL FLAT R/W,Rejected,6.42,82.08 m/kg,1.236,,A
1002165,,Customer Development,JL,Trim,,,Regular,,VS,36,Stretch,,1.2535,No,No,No,No,No,No,,,,876,,244,70,48,192,79,32,374,205,,PICOTS A,,,RS02875G,N6 3*2/110dtex/36 DTY SD 500tpm recycl,Rejected,4.81,82.08 m/kg,1.236,,A
1002122,,Customer Development,JL,Trim,,,Regular,,VS,36,Stretch,,1.2535,No,No,No,No,No,No,,,,876,,244,70,48,192,79,32,374,205,,PICOT LOCK,,,RS02875G,45D Thermocoolant,Rejected,0.42,82.08 m/kg,1.236,,A
1001972,,Customer Development,JL,Trim,,,Regular,,VS,36,Stretch,,1.2535,No,No,No,No,No,No,,,,876,,244,70,48,192,79,32,374,205,,PILLAR YARN,,,RS02875G,N6 1/44/12 SD FDY recycle 100%,Rejected,27.17,82.08 m/kg,1.236,,A
1000015,,Customer Development,JL,Trim,,,Regular,,VS,36,Stretch,,1.2535,No,No,No,No,No,No,,,,876,,244,70,48,192,79,32,374,205,,LYCRA,,,RS02875G,ELASTHANE 1/235DX CLEAR R/W YARN ON BEAM,Rejected,19.88,82.08 m/kg,1.236,,A
1001300,,Customer Development,JL,Trim,,,Regular,,VS,36,Stretch,,1.2535,No,No,No,No,No,No,,,,876,,244,70,48,192,79,32,374,205,,JACQUARD YARN,,,RS02875G,NYLON 6 1/78/24FIL SEMI DULL FLAT R/W,Rejected,0.41,82.08 m/kg,1.236,,A
1001413,,Customer Development,JL,Trim,,,Regular,,VS,36,Stretch,,1.2535,No,No,No,No,No,No,,,,876,,244,70,48,192,79,32,374,205,,SELVAGE YARN - PILLAR,,,RS02875G,NYLON 6 1/44/12FIL SD FDY,Rejected,0.75,82.08 m/kg,1.236,,A
1001822,,Customer Development,JL,Trim,,,Regular,,VS,36,Stretch,,1.2535,No,No,No,No,No,No,,,,876,,244,70,48,192,79,32,374,205,,SELVAGE YARN - JACQUARD,,,RS02875G,N6 1/78/24F SD DTY SIM,Rejected,0.68,82.08 m/kg,1.236,,A
1002101,,Customer Development,ML,Trim,,,Regular,,VS,36,Stretch,,1.2692,No,No,No,No,No,No,,,,1092,,298,37,48,48,25,64,382,168,,BRODEURS A,,,RS02865G,N6 4/78/68 FD 300tpm yarn,Rejected,15.62,164.2 m/kg,1.308,,A
1002164,,Customer Development,ML,Trim,,,Regular,,VS,36,Stretch,,1.2692,No,No,No,No,No,No,,,,1092,,298,37,48,48,25,64,382,168,,GUIMPES A,,,RS02865G,N6 110dtex/36 SD DTY - Recy,Rejected,3.95,164.2 m/kg,1.308,,A
1001822,,Customer Development,ML,Trim,,,Regular,,VS,36,Stretch,,1.2692,No,No,No,No,No,No,,,,1092,,298,37,48,48,25,64,382,168,,GUIMPES B,,,RS02865G,N6 1/78/24F SD DTY SIM,Rejected,6.2,164.2 m/kg,1.308,,A
1002165,,Customer Development,ML,Trim,,,Regular,,VS,36,Stretch,,1.2692,No,No,No,No,No,No,,,,1092,,298,37,48,48,25,64,382,168,,PICOTS A,,,RS02865G,N6 3*2/110dtex/36 DTY SD 500tpm recycle,Rejected,9.31,164.2 m/kg,1.308,,A
1002122,,Customer Development,ML,Trim,,,Regular,,VS,36,Stretch,,1.2692,No,No,No,No,No,No,,,,1092,,298,37,48,48,25,64,382,168,,PICOT LOCK,,,RS02865G,45D Thermocoolant,Rejected,0.8,164.2 m/kg,1.308,,A
1000015,,Customer Development,ML,Trim,,,Regular,,VS,36,Stretch,,1.2692,No,No,No,No,No,No,,,,1092,,298,37,48,48,25,64,382,168,,LYCRA,,,RS02865G,ELASTHANE 1/235DX CLEAR R/W YARN ON BEAM,Rejected,20.99,164.2 m/kg,1.308,,A
1001413,,Customer Development,ML,Trim,,,Regular,,VS,36,Stretch,,1.2692,No,No,No,No,No,No,,,,1092,,298,37,48,48,25,64,382,168,,SELVAGE YARN - PILLAR,,,RS02865G,NYLON 6 1/44/12FIL SD FDY,Rejected,0.95,164.2 m/kg,1.308,,A
1001822,,Customer Development,ML,Trim,,,Regular,,VS,36,Stretch,,1.2692,No,No,No,No,No,No,,,,1092,,298,37,48,48,25,64,382,168,,SELVAGE YARN - JACQUARD,,,RS02865G,N6 1/78/24F SD DTY SIM,Rejected,6.2,164.2 m/kg,1.308,,A
1001972,,Customer Development,ML,Trim,,,Regular,,VS,36,Stretch,,1.2692,No,No,No,No,No,No,,,,1092,,298,37,48,48,25,64,382,168,,GB01,,,RS02865G,NY 6 1/44/12FIL SD FDY -Recycled,Rejected,29.06,164.2 m/kg,1.308,,A
1001300,,Customer Development,ML,Trim,,,Regular,,VS,36,Stretch,,1.2692,No,No,No,No,No,No,,,,1092,,298,37,48,48,25,64,382,168,,GB02,,,RS02865G,NYLON 6 1/78/24FIL SEMI DULL FLAT R/W,Rejected,4.87,164.2 m/kg,1.308,,A
